Name,Identifier,E.C.,GPR,Reversible,Flux Lower Bound,Flux Upper Bound,bigg.reaction,kegg.reaction,metanetx.reaction,reactome
Utilized Transport,R_r2538,,,TRUE,-1000,1000,r2538,,MNXR106330,
Utilized Transport,R_r2537,,,TRUE,-1000,1000,r2537,,MNXR101111,
"Transport of L-Homoserine, Mitochondrial",R_r2535m,,,TRUE,-1000,1000,r2535m,,,
Utilized Transport,R_r2515,,,FALSE,0,1000,r2515,,MNXR106325,
"Transport of Hexadecenoate (N-C16:1) via Carnitine Antiport, Mitochondrial",R_r2514m,2.7.1.91,,TRUE,-1000,1000,r2514m,,,
Transport of Hexadecenoate (N-C16:1) via Carnitine Antiport,R_r2514e,2.7.8.27,,TRUE,-1000,1000,r2514e,,,
Utilized Transport,R_r2514,,,TRUE,-1000,1000,r2514,,MNXR106324,
Utilized Transport,R_r2513,,,FALSE,0,1000,r2513,,MNXR106323,
Utilized Transport,R_r2512,,,FALSE,0,1000,r2512,,MNXR106322,
Utilized Transport,R_r2511,,,TRUE,-1000,1000,r2511,,MNXR106321,
Utilized Transport,R_r2510,,,TRUE,-1000,1000,r2510,,MNXR106320,
Utilized Transport,R_r2509,,,TRUE,-1000,1000,r2509,,MNXR106319,
Utilized Transport,R_r2508,,,TRUE,-1000,1000,r2508,,MNXR106318,
Utilized Transport,R_r2507,,,TRUE,-1000,1000,r2507,,MNXR106317,
ATP-Binding Cassette (ABC) Tcdb:3.A.1.203.3,R_r2498,,(ENSG00000101986),FALSE,0,1000,r2498,,MNXR105487,
ATP-Binding Cassette (ABC) Tcdb:3.A.1.203.3,R_r2497,,(ENSG00000101986),FALSE,0,1000,r2497,,MNXR105486,
R_HMR_6389,R_HMR_6389,,(ENSG00000160190),FALSE,0,1000,r2472,,MNXR100321,
R_HMR_0187,R_HMR_0187,,(ENSG00000163586) or (ENSG00000121769) or (ENSG00000113396) or (ENSG00000167114) or (ENSG00000205186) or (ENSG00000170231) or (ENSG00000164434) or (ENSG00000197416) or (ENSG00000143554) or (ENSG00000130304) or (ENSG00000170323) or (ENSG00000145384) or (ENSG00000135218) or (ENSG00000164687),FALSE,0,1000,r2444,,MNXR97211,
R_HMR_2596,R_HMR_2596,,(ENSG00000178537) or (ENSG00000197119),TRUE,-1000,1000,r2437,,,
Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2,R_r2380,,(ENSG00000100075),TRUE,-1000,1000,r2380,,MNXR106261,
Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2,R_r2379,,(ENSG00000100075),TRUE,-1000,1000,r2379,,MNXR106260,
Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2,R_r2378,,(ENSG00000100075),TRUE,-1000,1000,r2378,,MNXR106259,
Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2,R_r2377,,(ENSG00000100075),TRUE,-1000,1000,r2377,,MNXR106258,
Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2,R_r2376,,(ENSG00000100075),TRUE,-1000,1000,r2376,,MNXR106257,
Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2,R_r2375,,(ENSG00000100075),TRUE,-1000,1000,r2375,,MNXR106256,
Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2,R_r2374,,(ENSG00000100075),TRUE,-1000,1000,r2374,,MNXR106255,
Organic Anion Transporter 5 Utilized Transport,R_r2346,,(ENSG00000184999),TRUE,-1000,1000,r2346,,MNXR106235,
Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.2,R_r2315,,(ENSG00000174640),TRUE,-1000,1000,r2315,,MNXR106212,
Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5,R_r2238,,(ENSG00000134538),FALSE,0,1000,r2238,,MNXR106135,
Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5,R_r2237,,(ENSG00000134538),FALSE,0,1000,r2237,,MNXR106134,
Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.5,R_r2236,,(ENSG00000134538),FALSE,0,1000,r2236,,MNXR106133,
Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14,R_r2159,,(ENSG00000084453),FALSE,0,1000,r2159,,MNXR106056,
Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14,R_r2158,,(ENSG00000084453),FALSE,0,1000,r2158,,MNXR106055,
Resistance-Nodulation-Cell Division (Rnd) Tcdb:2.A.60.1.14,R_r2157,,(ENSG00000084453),FALSE,0,1000,r2157,,MNXR106054,
Neurotransmitter:Sodium Symporter (Nss) Tcdb:2.A.22.3.3,R_r1540,2.3.1.86,(ENSG00000131389),FALSE,0,1000,r1540,,,
ATP-Binding Cassette (ABC) Tcdb:3.A.1.211.1,R_r1527,1.3.1.27,(ENSG00000165029),FALSE,0,1000,r1527,,MNXR105498,
ATP-Binding Cassette (ABC) Tcdb:3.A.1.211.1,R_r1526,1.3.1.27,(ENSG00000165029),FALSE,0,1000,r1526,,MNXR105497,
Glycoside-Pentoside-Hexuronide (Gph):Cation Symporter Tcdb:2.A.28.1.1,R_r1495,,(ENSG00000100652),FALSE,0,1000,r1495,,MNXR105478,
Long-Chain-Acyl Coenzyme A Dehydrogenase,R_r1481,2.3.1.86,(ENSG00000060971 and ENSG00000138029) or (ENSG00000167315 and ENSG00000138029),FALSE,0,1000,r1481,,,
Postulated Transport Reaction,R_r1468,2.3.1.86,,TRUE,-1000,1000,r1468,,MNXR105477,
Postulated Transport Reaction,R_r1467,2.3.1.86,,TRUE,-1000,1000,r1467,,MNXR102156,
Long-Chain-Acyl Coenzyme A Dehydrogenase,R_r1466,2.3.1.86,,FALSE,0,1000,r1466,,MNXR105476,
Acyl-CoA Oxidase,R_r1451,1.3.3.6,(ENSG00000087008) or (ENSG00000161533),FALSE,0,1000,r1451,,,
Acyl-CoA Oxidase,R_r1450,1.3.3.6,(ENSG00000087008) or (ENSG00000161533),FALSE,0,1000,r1450,,,
Acyl-CoA Oxidase,R_r1449,1.3.3.6,(ENSG00000087008) or (ENSG00000161533),FALSE,0,1000,r1449,,,
Acyl-CoA Oxidase,R_r1448,1.3.3.6,(ENSG00000087008) or (ENSG00000161533),FALSE,0,1000,r1448,,,
Acyl-CoA Oxidase,R_r1447,1.3.3.6,(ENSG00000087008) or (ENSG00000161533),FALSE,0,1000,r1447,,,
Acyl-CoA Oxidase,R_r1446,1.3.3.6,(ENSG00000087008) or (ENSG00000161533),FALSE,0,1000,r1446,,,
Active Transport,R_r1441,3.4.19.9,,FALSE,0,1000,r1441,,MNXR104924,
Free Diffusion,R_r1421,4.2.1.1,,TRUE,-1000,1000,r1421,,MNXR99238,
D-Galactosyl-N-Acetyl-D-Galactosaminyl- (N-Acetylneuraminyl)-D- Galactosyl-D-Glucosylceramide Galactohydrolase,R_r1411,3.2.1.23,(ENSG00000170266),FALSE,0,1000,r1411,,MNXR105471,
Active Transport,R_r1400,,,TRUE,-1000,1000,r1400,,MNXR105469,
Delta24-Sterol Reductase,R_r1380,1.3.1.72,(ENSG00000116133),TRUE,-1000,1000,r1380,,MNXR105284,
