group,formula,mass
MNXR105150_MNXM90394,H,1.0073
MNXR101749_MNXM511,H,1.0084
MNXR105284_MNXM574,H2,2.0157
MNXR111953_MNXM63843,H3,3.0229
MNXR105063_MNXM87,H4,4.0313
MNXR108282_MNXM1157,H5,5.0397
MNXR103128_MNXM346,H6,6.047
MNXR104889_MNXM234,CH2,14.0157
MNXR104271_MNXM635,CH3,15.0229
MNXR99561_MNXM2,O,15.9938
MNXR104663_MNXM505,O,15.9949
MNXR99667_MNXM511,H2N,16.0193
MNXR104060_MNXM374,HO,17.0022
MNXR105150_MNXM700,HO,17.0033
MNXR104714_MNXM159,H3N,17.0265
MNXR110805_MNXM4278,HO,17.9661
MNXR105437_MNXM3,H2O,18.0106
MNXR101975_MNXM1615,H4N,18.0349
MNXR100896_MNXM90394,H3O,19.0178
MNXR104996_MNXM479,H5N,19.0422
MNXR95807_MNXM1131,H4O,20.0262
MNXR112859_MNXM10188,N2,28.0061
MNXR99405_MNXM88,C2H4,28.0313
MNXR104715_MNXM89621,CH2O,30.0106
MNXR100065_MNXM1024,CH5N,31.0422
MNXR107950_MNXM105630,S,31.9721
MNXR104944_MNXM94,O2,31.9898
MNXR101975_MNXM2704,HO2,32.9971
MNXR100492_MNXM1,HO2,32.9982
MNXR107825_MNXM1633,CH7N,33.0578
MNXR103787_MNXM205,H2O2,34.0055
MNXR103687_MNXM22,HCl,35.9767
MNXR103095_MNXM554,H4O2,36.0211
MNXR96347_MNXM144,CHNO,43.0058
MNXR105068_MNXM284,CO2,43.9898
MNXR104833_MNXM29,C2H4O,44.0262
MNXR107556_MNXM211,C2H7N,45.0578
MNXR103598_MNXM3863,NO2,45.9924
MNXR102425_MNXM21,CH2O2,46.0055
MNXR103128_MNXM351,O3,47.9847
MNXR103941_MNXM1368,CH4S,48.0034
MNXR111953_MNXM2172,HO3,48.9931
MNXR108282_MNXM92652,H2O3,49.9993
MNXR105228_MNXM174,H2O3,50.0004
MNXR96042_MNXM124,C3H8N,58.0651
MNXR103186_MNXM25,CO3,59.9847
MNXR96920_MNXM46,C2H4O2,60.0211
MNXR103755_MNXM15828,CH4N2O,60.0324
MNXR96485_MNXM89557,CH3NO2,61.0164
MNXR104347_MNXM88,C2H7NO,61.0528
MNXR97776_MNXM83,CH2O3,62.0004
MNXR100330_MNXM183,CH5NO2,63.032
MNXR100658_MNXM547,H12N4,68.1062
MNXR97219_MNXM23,C2H2O3,74.0004
MNXR101417_MNXM46,C3H6O2,74.0368
MNXR104833_MNXM75,C2H5NO2,75.032
MNXR103049_MNXM364,C2H7NS,77.0299
MNXR110824_MNXM4813,HBr,79.9262
MNXR104355_MNXM55,HO3S,80.9641
MNXR95393_MNXM2,H2O3P,80.9736
MNXR109172_MNXM23,H2O3S,81.9725
MNXR125224_MNXM2008,C6H12,84.0939
MNXR109039_MNXM531,C6H14,86.1096
MNXR95860_MNXM321,C4H11N2,87.0928
MNXR104504_MNXM53,C3H4O3,88.016
MNXR103335_MNXM21,C4H12N2,88.1
MNXR104504_MNXM392,C3H7NO2,89.0477
MNXR99460_MNXM77,C3H6O3,90.0317
MNXR103519_MNXM771,C4H14N2,90.1157
MNXR96880_MNXM351,C2H4O4,92.011
MNXR100115_MNXM390,C3H8O3,92.0473
MNXR100142_MNXM183,C2H7NO3,93.0426
MNXR107481_MNXM21,C6H7N,93.0578
MNXR110820_MNXM6694,HOBr,95.9211
MNXR103048_MNXM1115,H2O4P,96.9696
MNXR100024_MNXM89557,H4NO3P,96.9929
MNXR104605_MNXM375,H2O4S,97.9674
MNXR105437_MNXM7,H3O4P,97.9769
MNXR103521_MNXM124,C5H9NO,99.0684
MNXR101975_MNXM22,C5H12N2,100.1
MNXR104315_MNXM727,C4H7NO2,101.0477
MNXR102148_MNXM92,C4H6O3,102.0317
MNXR108536_MNXM385,C6H14O,102.1045
MNXR95186_MNXM20,C4H9NO2,103.0633
MNXR104504_MNXM32,C3H4O4,104.011
MNXR96250_MNXM61,C4H10NO2,104.0706
MNXR95261_MNXM26,C5H14NO,104.107
MNXR104504_MNXM23,C3H7NO3,105.0426
MNXR103377_MNXM295,C4H4N2O2,112.0273
MNXR109104_MNXM159,CH7NSe,112.9744
MNXR103095_MNXM405,C5H7NO2,113.0477
MNXR105361_MNXM89557,C4H6N2O2,114.0429
MNXR105311_MNXM75,H6NO4P,115.0034
MNXR100360_MNXM29,C5H9NO2,115.0633
MNXR99706_MNXM154,C4H4O4,116.011
MNXR96230_MNXM89557,C5H8O3,116.0473
MNXR106585_MNXM89689,C3H7N3O2,117.0538
MNXR96230_MNXM20,C5H11NO2,117.079
MNXR102148_MNXM133,C4H6O4,118.0266
MNXR109104_MNXM5818,C4H9NO3,119.0582
MNXR96990_MNXM89557,C3H4O3S,119.9881
MNXR104355_MNXM105630,C3H6NO2S,120.0114
MNXR96990_MNXM20,C3H7NO2S,121.0197
MNXR110488_MNXM2226,C7H6O2,122.0368
MNXR106397_MNXM95396,C6H6N2O,122.048
MNXR112981_MNXM1959,C3H9NO2S,123.0354
MNXR103048_MNXM295,C6H7N2O,123.0553
MNXR102011_MNXM295,C6H6NO2,124.0393
MNXR96207_MNXM834,C2H7NO3S,125.0147
MNXR104887_MNXM789,C5H6N2O2,126.0429
MNXR108236_MNXM76,I,126.9039
MNXR108236_MNXM666,HI,127.9123
MNXR100126_MNXM32,C5H7NO3,129.0426
MNXR96229_MNXM89557,C6H10O3,130.063
MNXR102220_MNXM89557,C5H9NO3,131.0582
MNXR96229_MNXM20,C6H13NO2,131.0946
MNXR97909_MNXM923,C4H4O5,132.0059
MNXR96059_MNXM89557,C4H8N2O3,132.0535
MNXR102220_MNXM20,C5H12N2O2,132.0899
MNXR97909_MNXM894,C4H7NO4,133.0375
MNXR103048_MNXM216,C5H9O4,133.0495
MNXR96250_MNXM289,C4H8NO2S,134.0281
MNXR95767_MNXM117,C3H6N2O4,134.0328
MNXR95228_MNXM10881,C5H10O2S,134.0402
MNXR97019_MNXM53,C4H9NO2S,135.0354
MNXR103344_MNXM789,C5H5N5,135.0545
MNXR103348_MNXM789,C5H4N4O,136.0385
MNXR100946_MNXM32,C7H7NO2,137.0477
MNXR97012_MNXM159,C3H10N2O2S,138.0463
MNXR102137_MNXM89689,CH4NO5P,140.9827
MNXR104365_MNXM528,C2H8NO4P,141.0191
MNXR96485_MNXM37,CH3O6P,141.9667
MNXR103755_MNXM117,C4H2N2O4,142.0015
MNXR96042_MNXM321,C7H18N3,144.1506
MNXR105309_MNXM32,C5H7NO4,145.0375
MNXR104491_MNXM21,C7H19N3,145.1579
MNXR96230_MNXM199,C5H6O5,146.0215
MNXR97678_MNXM309,C5H10N2O3,146.0691
MNXR105128_MNXM89557,C5H9NO2S,147.0354
